"question_id_q","german_question_text_q","english_question_text_q"
"336","Wo erfahre ich etwas über Nachteilsausgleiche?","Where can I find information about compensations for disadvantages?"
"9","Welche Master Studiengänge kann ich mit einem Cognitive Science Bachelor machen?","Which master's degree programs can I do with a Cognitive Science bachelor's degree?"
"203","Wie teuer ist ein Studium?","How expensive is a degree?"
"73","Sind die oberen Führungsebenen der Universität Osnabrück durchschnittlich Weiß und männlich?","Are the upper management levels of the University of Osnabrück predominantly white and male?"
"204","Welche Wohnmöglichkeiten werden für Studenten bereitgestellt und wie kann ich mich für eine Unterkunft auf dem Campus bewerben?","What housing options are provided for students, and how can I apply for oncampus accommodation?"
"356","Welche Jobs kann man mit welchen Studienfächern aufnehmen?","What jobs can you take up with which fields of study?"
"32","Wie viel kostet mich ein Semester an der Uni?","How much does a semester at the university cost me?"
"298","Gibt es verfügbare Studentenunterkünfte?","Are there student accomodations available?"
"167","Sollte ich mich um Bafög oder ein Stipendium kümmern und wenn ja, wie genau gehe ich vor?
","Should I worry about Bafög or a scholarship and if so, how exactly do I proceed?"
"194","Braucht man einen NC für den Studiengang Germanistik auf Lehramt ","Do you need a NC for the German Studies teaching degree program?"
"153","Können Sie Details zu Stipendien oder Finanzhilfemöglichkeiten für internationale Studierende bereitstellen?","Can you provide details about scholarships or financial aid options available for international students?"
"105","Welche Tools stellt die Uni mir zur Verfügung?","What tools does the university provide me with?"
"129","Gibt es spezielle Workshops oder Networking-Veranstaltungen für Masterstudenten in Kognitionswissenschaften?","Are there any special workshops or networking events for Master’s students in Cognitive Science?"
"351","Wann macht ein Master Sinn ","When does a Master's make sense"
"212","Wo ist das Gebäude 69?","Where is building 69?"
"143","Wie sind die Mietpreise für Wohnungen in der Nähe des Campus","What are the rental prices for apartments near the campus?"
"123","Wo kann ich meine bisher erbrachten Leistungen und Noten einsehen?","Where can I view my previously provided services and grades?"
"315","Wie kann ich meine lernen Optimierten. ","How can I optimize my learning."
"328","Wie wurden die Antwortdaten für diesen Chatbot generiert? (Kontext: Andere ""KI-Bots"" holen ihre Datensätze auf Basis von Ausbeutung anderer Menschen)","How were the response data for this chatbot generated? (Context: Other ""AI bots"" obtain their datasets based on the exploitation of other people)"
"347","Wie sind die Vorlesungen aufgebaut?","How are the lectures structured?"
"111","Wie melde ich mich für eine Bachelorarbeit an?","How do I register for a bachelor's thesis?"
"83","Wo finde ich Wohnungsmöglichkeiten in der Nähe der Uni? ","Where can I find housing options near the university?"
"213","Bietet die Uni Osnabrück Musik und Sportclubs an?","Does the University of Osnabrück offer music and sports clubs?"
"230","Welche Berufsmöglichkeiten habe ich nach Abschluss meines Programms?","What are the job opportunities after finishing my program?"
"273","Wie lauten die Bewerbungsfristen für meine Studienfach?","What are the application deadlines for my field of study?"
"333","Welche Ressourcen stehen Studierenden mit Behinderungen an der Universität Osnabrück zur Verfügung?","What resources are available to help students with disabilities at Osnabrück University?"
"240","Was sind die Inhalte dieses Studiengangs","What are the contents of this course of study?"
"238","Wie kann ich mich für Sport anmelden?","How can I sign up for sports?"
"92","Ist die Uni gut erreichbar?","Is the university easily accessible?"
"186","Welche Events gibt es in der nächsten Zeit?","What events are coming up soon?"
"196","Was sind die Semesterdaten?","What are the semester dates?"
"113","Ich arbeite als Werkstudent, kann ich als Tutor auf minijob basis arbeiten?","I work as a working student, can I work as a tutor on a mini job basis?"
"341","Wann und wie läuft das Anmeldeverfahren ab? ","When and how does the registration process take place?"
